experiment_id,stage,description,source_commit,analysis_commit,seed,status,artifact_path,notes
M0-02B-1B-0.1,accounting,Position accounting semantics audit,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,2b4b9fbe17c22281b45ae3d07867e94295c28d6a,,COMPLETE,quant/reports/position_accounting.json,"Residuals preserved; not a global blocker"
M0-AUTONOMOUS-1,accounting,Freeze exchange-reported and analytical dual ledgers,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,86be1f430ece5c64237b2dfc133842124119101c,,COMPLETE,quant/reports/accounting_foundation_manifest.json,"Downstream research allowed with explicit residuals"
M1-WALLET-1,wallet,Reconcile currency-separated wallet ledger and snapshots,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,1166e23eff2da21afb5ec3447cccbebf77971295,,COMPLETE,quant/reports/wallet_reconciliation.json,"READY_WITH_WARNINGS; no fabricated wallet-to-execution join"
M2-BEHAVIOR-1,behavior,Build layered BTC-first fills orders decisions and position cycles,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,8866448fc183929078caf418b09de7307c16d02b,,COMPLETE_WITH_WARNINGS,quant/reports/behavior_dataset.json,"160302 fills; 31702 order episodes; 32231 decisions; 1401 cycles; CSV fallback because Parquet engine unavailable"
M3-MARKET-1,market,Download and audit public BTC market context with UTC lineage,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,827106a2e5d8c20afe23bb20f52954baccb0f6e5,,READY_WITH_WARNINGS,quant/reports/market_data_lineage.json,"653630 verified 5m bars; 54470 derived 1h bars; 6809 funding rows; zero 5m grid gaps; historical mark/index unavailable and explicit MARK_INDEX_MISSING"
M4-FEATURES-1,features_labels,Build leakage-safe BTC features labels and chronological split,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,83d636a2e5d8c20afe23bb20f52954baccb0f6e5,,COMPLETE_WITH_WARNINGS,quant/reports/model_dataset_manifest.json,"20845 BTC decision rows; 529 synthetic HOLD/NO_TRADE rows; leakage PASS with zero violations; mark/index explicitly missing; ignored CSV fallback"
M5.1-STRATEGY-1,strategy,Frequency baseline and deterministic interpretable strategy fidelity,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,2daab36eb75c6e1cc876b12ff4e369ea57e8ae5,,COMPLETE_WITH_WARNINGS,quant/reports/strategy_fidelity.json,"TRAIN-only baseline plus deterministic rules; chronological TRAIN/VALIDATION/TEST evaluation; BEHAVIORAL_APPROXIMATION; no exchange SDK"
M5.2-STRATEGY-ML-1,strategy,Deterministic NumPy Logistic Regression and Decision Tree comparison,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,66c9e34e8189d1fffbd8caf913a876c08df95f31,,COMPLETE_WITH_WARNINGS,quant/reports/strategy_fidelity.json,"TRAIN-only fitting; same feature/signal contract; external sklearn/LightGBM/XGBoost unavailable; optional boosted model deferred"
M6-PARITY-1,backtest,Strategy Core batch/streaming parity,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,622c5d664255fb339da2d93aca8beac4fbef1689,42,COMPLETE_WITH_WARNINGS,quant/reports/quant_research_summary.json,Parity samples and report reproducibility.
M6-WALK-FORWARD-1,backtest,Three chronological walk-forward research windows,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,622c5d664255fb339da2d93aca8beac4fbef1689,42,COMPLETE_WITH_WARNINGS,quant/reports/quant_research_summary.json,54 strategy/window/period rows; unitless exposure proxy; no future data.
M6-ROBUSTNESS-1,robustness,Fees slippage delay exposure side regimes cycle-removal sensitivity,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,622c5d664255fb339da2d93aca8beac4fbef1689,42,COMPLETE_WITH_WARNINGS,quant/reports/quant_research_summary.json,All requested families recorded; cycle removal is descriptive interval filtering.
M8-DOMAIN-1,engineering,Exchange-neutral Decimal UTC domain model and pre-trade safety, f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,86634c0,,COMPLETE,quant/reports/risk_engine_test.md,No exchange SDK, credentials, or live capital.
M9-RISK-1,engineering,Execution state machine idempotency reconciliation and fail-closed guards,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,0438315,,COMPLETE,quant/reports/execution_reconciliation.md,Offline control-plane implementation.
M10-OFFLINE-1,engineering,Offline shadow and paper runtime smoke tests,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,0594629,,COMPLETE_WITH_WARNINGS,quant/reports/paper_trading_report.md,Fixture smoke passes; no exchange connectivity.
M11-ADAPTER-1,engineering,Exchange capability registry and credential-gated mock adapters,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,f2c64da,,COMPLETE_WITH_WARNINGS,quant/reports/exchange_capability_matrix.md,BitMEX/Bybit mock paths pass; private endpoints require credentials.
M12-RELEASE-1,release,Clean-room open-source safeguards and reproducibility boundary,f02a691c7f7cfd0cd08ffb7f13a656ebaf2c6ca6,9c8cf24,,COMPLETE_WITH_WARNINGS,quant/reports/clean_room_release_test.md,Fresh Python 3.11 clone passes 273 tests with 2 output-dependent skips; full research requires rehydrating ignored verified outputs; Docker build/run paper smoke passes without credentials.
M13-CROSS-ASSET-1,cross_asset_behavior,Full historical universe and exchange-neutral behavioral approximation,07f5304e0101852538d52914927f11ef7e8d01ee,78d4ad6,281,COMPLETE_WITH_WARNINGS,quant/reports/cross_asset_strategy_fidelity.md,66-symbol inventory; 65 public market coverage PASS and 1 insufficient; leakage PASS; 53-symbol unified model; three walk-forward windows; local paper replay; no private API or real funds.
